36	-2	-3	-3	0	47	2	5	23	0	2	-1	-3	1	-2	9	0
-3	-13	-10	0	-15	-15	-2	-11	-9	-12	15	13	26	12	26	-4	0
-9	-9	-9	-9	-3	-9	-6	-5	1	-6	-8	0	0	0	0	0	0
-18	-14	-17	-8	0	-7	-14	-14	-8	0	-13	-8	-7	-10	-11	-9	0
-2	-3	-4	-6	-7	-10	-9	-9	-7	-8	0	0	0	0	0	0	0
-5	0	-4	-11	-6	-5	-8	-2	-8	0	-10	-5	-7	-4	-2	5	0
-13	-4	-2	-2	0	-16	-13	-1	-3	1	-2	-2	-1	-1	0	-4	0
11	0	0	0	0	0	16	-3	5	9	25	16	19	9	9	0	0
11	0	6	0	0	8	7	0	0	0	0	0	0	0	0	0	0
13	0	0	19	0	0	7	0	0	0	26	0	4	16	8	0	0
9	0	0	4	0	8	20	7	6	0	17	0	12	12	12	0	0
-26	-26	-26	-26	-26	-26	-26	-26	-26	-26	-26	-26	-26	-26	-26	-26	0
17	0	0	0	0	0	0	0	0	0	0	16	-4	0	11	0	0
0	-23	-9	0	0	0	-9	-9	-12	-4	-12	-8	0	-11	0	0	0
-23	-25	-32	-23	-20	-26	-34	-25	-26	-20	-27	-35	-20	-11	-23	-17	0
17	3	5	5	0	0	6	-11	1	7	-9	-23	-23	-23	-23	-23	0
1	10	8	6	16	10	16	15	5	20	9	0	2	2	0	0	0
