89	17	22	16	6	51	83	24	56	16	126	101	97	117	84	44	0
60	55	30	19	20	40	93	53	70	39	93	102	99	93	91	44	0
74	29	21	26	42	66	75	22	58	29	89	78	77	59	63	19	0
97	3	8	5	1	88	78	41	62	32	100	73	94	77	72	28	0
123	0	5	3	1	132	131	68	114	31	121	118	143	131	121	33	0
101	1	1	2	0	95	100	58	86	11	90	94	96	99	76	14	0
109	5	35	21	8	92	121	70	86	53	87	94	108	96	86	28	0
106	0	8	17	3	90	101	61	75	41	105	81	100	81	78	34	0
141	0	7	0	6	145	131	41	97	36	116	100	132	81	106	37	0
131	3	3	9	4	71	99	39	38	26	96	119	121	92	88	7	0
103	6	6	12	8	52	118	48	54	39	108	112	116	97	75	22	0
91	16	26	29	12	69	74	69	40	28	124	104	81	97	103	19	0
30	51	47	50	56	99	65	77	80	70	120	101	102	104	104	22	0
31	38	35	55	26	77	23	81	88	54	72	65	49	120	109	34	0
122	35	29	37	29	89	109	70	77	42	119	116	109	119	103	16	0
118	36	30	35	22	63	75	74	70	48	112	100	109	95	113	24	0
113	69	46	41	38	100	146	69	80	53	135	130	127	117	129	21	0
89	31	37	37	13	84	66	49	79	18	90	93	104	93	92	2	0
73	47	35	20	15	49	113	33	50	32	129	140	116	128	127	6	0
108	33	31	37	42	52	105	42	61	21	79	80	99	90	71	9	0
105	9	45	28	-4	30	70	30	48	37	102	118	125	84	96	35	0
83	21	42	24	4	45	110	55	52	31	117	91	120	91	95	6	0
81	20	25	23	15	87	94	42	62	17	122	110	111	96	91	11	0
112	13	23	9	9	104	107	51	93	45	91	95	90	74	67	36	0
78	21	17	28	9	37	85	34	50	29	100	84	100	57	65	12	0
88	25	21	28	37	67	75	42	57	31	84	101	98	107	102	34	0
88	33	44	52	39	67	81	44	81	36	91	77	67	113	123	52	0
107	6	20	28	4	46	89	23	44	19	82	83	98	67	53	8	0
76	14	17	12	9	62	71	41	44	29	80	74	99	73	79	19	0
77	11	35	19	22	62	93	55	76	39	72	86	97	71	77	33	0
85	12	31	16	4	33	55	37	43	15	82	72	84	62	79	17	0
118	21	45	48	10	51	71	47	55	13	84	69	95	55	72	18	0
110	18	35	34	35	108	100	66	69	39	128	91	104	61	63	20	0
124	10	44	3	15	85	62	69	106	47	54	92	82	73	42	31	0
85	23	48	49	32	97	82	96	96	55	95	85	69	25	48	34	0
132	27	30	24	21	98	94	92	109	52	110	94	108	82	70	57	0
117	44	43	38	37	108	66	93	94	51	84	73	71	42	58	38	0
103	53	53	50	32	102	98	117	103	51	95	75	84	45	70	43	0
104	0	45	23	5	54	77	30	73	27	84	70	102	69	58	20	0
87	11	12	17	13	21	67	17	40	3	72	87	134	78	68	7	0
57	8	16	23	-3	41	77	22	43	15	91	109	126	104	99	27	0
105	13	25	26	12	72	94	35	44	30	102	83	96	68	69	29	0
117	12	38	54	9	104	91	75	66	25	120	117	130	120	117	38	0
96	7	76	44	17	75	99	35	61	30	78	72	110	85	76	22	0
106	12	41	17	7	93	146	38	79	117	127	96	103	98	98	46	0
122	31	51	23	25	43	128	21	60	44	150	120	119	117	126	50	0
57	41	41	30	28	74	94	86	69	10	125	127	106	110	126	54	0
141	32	29	36	31	66	108	49	56	44	132	125	75	120	91	25	0
126	6	27	4	2	140	140	74	128	47	135	141	153	146	127	69	0
114	24	44	64	36	100	116	60	88	57	123	121	92	112	100	58	0
36	41	57	54	51	99	53	88	93	50	73	112	76	83	105	30	0
